anio,source_file,entity_name,entity_normalized_name
2023,seguros-en-cifra-2023.xlsx,"Oceánica de Seguros, C.A.",oceanica de seguros c a
2023,seguros-en-cifra-2023.xlsx,Oriental de Seguros C.A.,oriental de seguros c a
2023,seguros-en-cifra-2023.xlsx,"Pirámide C.A., Seguros",piramide c a seguros
2023,seguros-en-cifra-2023.xlsx,"Previsora, C.N.A. de Seguros",previsora c n a de seguros
2023,seguros-en-cifra-2023.xlsx,Primus Seguros C.A.,primus seguros c a
2023,seguros-en-cifra-2023.xlsx,"Proseguros, S.A.",proseguros s a
2023,seguros-en-cifra-2023.xlsx,"Qualitas C.A., Seguros",qualitas c a seguros
2023,seguros-en-cifra-2023.xlsx,"Real Seguros, S.A.",real seguros s a
2023,seguros-en-cifra-2023.xlsx,"Uniseguros S.A.,  Aseguradora Nacional Unida",uniseguros s a aseguradora nacional unida
2023,seguros-en-cifra-2023.xlsx,Universal de Seguros C.A.,universal de seguros c a
2023,seguros-en-cifra-2023.xlsx,"Universitas, C.A. Seguros",universitas c a seguros
2023,seguros-en-cifra-2023.xlsx,Venezolana de Seguros y Vida C.A.,venezolana de seguros y vida c a
2023,seguros-en-cifra-2023.xlsx,"Venezuela C.A., Seguros",venezuela c a seguros
2023,seguros-en-cifra-2023.xlsx,"Vitalicia, S.A., Seguros",vitalicia s a seguros
2023,seguros-en-cifra-2023.xlsx,Vivir Seguros C.A.,vivir seguros c a
2023,seguros-en-cifra-2023.xlsx,"Zuma Seguros, C.A.",zuma seguros c a
2023,seguros-en-cifra-2023.xlsx,II Empresas Operativas en Generales:,ii empresas operativas en generales
2023,seguros-en-cifra-2023.xlsx,"Internacional, S.A. de Seguros",internacional s a de seguros
2023,seguros-en-cifra-2023.xlsx,"Vértice Seguros, C.A.",vertice seguros c a
2023,seguros-en-cifra-2023.xlsx,III Empresas Operativas en Vida:,iii empresas operativas en vida
2023,seguros-en-cifra-2023.xlsx,"Virgen del Valle C.A., Seguros",virgen del valle c a seguros
2023,seguros-en-cifra-2023.xlsx,"Internacional, C.A. de Seguros",internacional c a de seguros
2023,seguros-en-cifra-2023.xlsx,"Mundial, C.A. de Seguros",mundial c a de seguros
2023,seguros-en-cifra-2023.xlsx,Regional C.A. de Seguros (1),regional c a de seguros 1
2023,seguros-en-cifra-2023.xlsx,"Vértice, C.A. Seguros",vertice c a seguros
2023,seguros-en-cifra-2023.xlsx,Carabobo C.A. Seguros,carabobo c a seguros
2023,seguros-en-cifra-2023.xlsx,Guayana C.A. Seguros,guayana c a seguros
2023,seguros-en-cifra-2023.xlsx,"Interbank Seguros, S.A.",interbank seguros s a
2023,seguros-en-cifra-2023.xlsx,Multinacional C.A. de Seguros,multinacional c a de seguros
2023,seguros-en-cifra-2023.xlsx,Regional C.A de Seguros,regional c a de seguros
2023,seguros-en-cifra-2023.xlsx,"Hispana de Seguros, S.A.",hispana de seguros s a
2023,seguros-en-cifra-2023.xlsx,"Multinacional de Seguros, C.A.",multinacional de seguros c a
2023,seguros-en-cifra-2023.xlsx,Regional C.A. Seguros,regional c a seguros
2023,seguros-en-cifra-2023.xlsx,"Interbank Seguros, C.A.",interbank seguros c a
2023,seguros-en-cifra-2023.xlsx,"Interbank, C.A. de Seguros",interbank c a de seguros
2023,seguros-en-cifra-2023.xlsx,RESULTADO GLOBAL DEL EJERCICIO,resultado global del ejercicio
2023,seguros-en-cifra-2023.xlsx,Adriática de Seguros C.A (2),adriatica de seguros c a 2
2023,seguros-en-cifra-2023.xlsx,Atrio Seguros S.A.,atrio seguros s a
2023,seguros-en-cifra-2023.xlsx,Carabobo C.A. Seguros (2),carabobo c a seguros 2
2023,seguros-en-cifra-2023.xlsx,Guayana C.A. Seguros (2),guayana c a seguros 2
2023,seguros-en-cifra-2023.xlsx,Interbank Seguros S.A. (2),interbank seguros s a 2
2023,seguros-en-cifra-2023.xlsx,Miranda C.A. Seguros (2),miranda c a seguros 2
2023,seguros-en-cifra-2023.xlsx,"Multinacional de Seguros, C.A. (2)",multinacional de seguros c a 2
2023,seguros-en-cifra-2023.xlsx,Previsora C.N.A. de Seguros (2),previsora c n a de seguros 2
2023,seguros-en-cifra-2023.xlsx,Regional C.A. de Seguros (2),regional c a de seguros 2
2023,seguros-en-cifra-2023.xlsx,Uniseguros Aseguradora Nacional Unida  S.A.,uniseguros aseguradora nacional unida s a
2023,seguros-en-cifra-2023.xlsx,Vitalicia C.A. Seguros,vitalicia c a seguros
2023,seguros-en-cifra-2023.xlsx,"Ávila C.A., de Seguros (3)",avila c a de seguros 3
2023,seguros-en-cifra-2023.xlsx,"Carabobo C.A., Seguros (3)",carabobo c a seguros 3
2023,seguros-en-cifra-2023.xlsx,Guayana C.A. Seguros (3),guayana c a seguros 3
2023,seguros-en-cifra-2023.xlsx,"Interbank Seguros, S.A. (3)",interbank seguros s a 3
2023,seguros-en-cifra-2023.xlsx,Latitud Seguros C.A. (4),latitud seguros c a 4
2023,seguros-en-cifra-2023.xlsx,"Multinacional de Seguros, C.A. (3)",multinacional de seguros c a 3
2023,seguros-en-cifra-2023.xlsx,Regional C.A. Seguros (3),regional c a seguros 3
2023,seguros-en-cifra-2023.xlsx,Venezolana de Seguros y Vida C.A. (4),venezolana de seguros y vida c a 4
2023,seguros-en-cifra-2023.xlsx,"Carabobo C.A., Seguros (5)",carabobo c a seguros 5
2023,seguros-en-cifra-2023.xlsx,"Guayana C.A., Seguros  (5)",guayana c a seguros 5
2023,seguros-en-cifra-2023.xlsx,Iberoamericana de Seguros C.A.  (5),iberoamericana de seguros c a 5
2023,seguros-en-cifra-2023.xlsx,"Interbank Seguros, S.A. (5)",interbank seguros s a 5
2023,seguros-en-cifra-2023.xlsx,"Latitud de Seguros, C.A",latitud de seguros c a
2023,seguros-en-cifra-2023.xlsx,"Miranda C.A., Seguros  (5)",miranda c a seguros 5
2023,seguros-en-cifra-2023.xlsx,"Multinacional de Seguros, C.A  (5)",multinacional de seguros c a 5
2023,seguros-en-cifra-2023.xlsx,"Previsora, C.N.A de Seguros  (5)",previsora c n a de seguros 5
2023,seguros-en-cifra-2023.xlsx,Regional C.A. Seguros  (5),regional c a seguros 5
2023,seguros-en-cifra-2023.xlsx,"En el año 2023 las empresas reaseguradoras asumieron Prestaciones y Sinestros Pagados por un monto de Bs. 56.541(*) (equivalentes a USD. 2.085(*) a la tasa de cambio BCV promedio del mes de junio 2023), lo cual representa un incremento en valores nominales de 581,87% con respecto al monto pagado durante el año 2022 que se ubicó en Bs. 8.292(*) (equivalentes a USD. 1.560(*) a la tasa de cambio BCV promedio del mes de junio 2022).
Las Prestaciones y Siniestros por empresa de reaseguros, se distribuye según lo observado en el siguiente gráfico:",en el ano 2023 las empresas reaseguradoras asumieron prestaciones y sinestros pagados por un monto de bs 56 541 equivalentes a usd 2 085 a la tasa de cambio bcv promedio del mes de junio 2023 lo cual representa un incremento en valores nominales de 581 87 con respecto al monto pagado durante el ano 2022 que se ubico en bs 8 292 equivalentes a usd 1 560 a la tasa de cambio bcv promedio del mes de junio 2022 las prestaciones y siniestros por empresa de reaseguros se distribuye segun lo observado en el siguiente grafico
2023,seguros-en-cifra-2023.xlsx,"Para el año 2023 las Reservas Técnicas alcanzaron la cantidad de Bs. 209.659(*), lo cual representó un incremento en valores nominales de 1809,60% con respecto a las constituidas al cierre del año 2022 que se ubicaron en Bs. 10.985(*).
En  relación  a  las  Inversiones  Aptas  para  la  Representación  de  la  Reservas  Técnicas,  estas  se ubicaron en Bs. 82.868(*), lo cual representó un incremento en valores nominales de 326,78% con respecto al cierre del año 2022 que se ubicaron en Bs. 19.417(*).
El Índice de Cobertura de Reservas Técnicas del sector reasegurador para el año 2023 es de 0,4 puntos, que representó un descenso en valores nominales de 77,53% con respecto al año 2022 que se ubicó en 1,78.
Se muestra a continuación el Índice de Cobertura de las empresas reaseguradoras del mercado venezolano durante el año 2023.",para el ano 2023 las reservas tecnicas alcanzaron la cantidad de bs 209 659 lo cual represento un incremento en valores nominales de 1809 60 con respecto a las constituidas al cierre del ano 2022 que se ubicaron en bs 10 985 en relacion a las inversiones aptas para la representacion de la reservas tecnicas estas se ubicaron en bs 82 868 lo cual represento un incremento en valores nominales de 326 78 con respecto al cierre del ano 2022 que se ubicaron en bs 19 417 el indice de cobertura de reservas tecnicas del sector reasegurador para el ano 2023 es de 0 4 puntos que represento un descenso en valores nominales de 77 53 con respecto al ano 2022 que se ubico en 1 78 se muestra a continuacion el indice de cobertura de las empresas reaseguradoras del mercado venezolano durante el ano 2023
2023,seguros-en-cifra-2023.xlsx,Al 30/06/2023,al 30 06 2023
2023,seguros-en-cifra-2023.xlsx,EMPRESAS DE REASEGURO AUTORIZADAS,empresas de reaseguro autorizadas
2023,seguros-en-cifra-2023.xlsx,(MILES DE BOLÍVARES),miles de bolivares
2023,seguros-en-cifra-2023.xlsx,BALANCE CONDENSADO POR EMPRESA,balance condensado por empresa
2023,seguros-en-cifra-2023.xlsx,ESTADO DE GANANCIAS Y PERDIDAS. INGRESOS POR EMPRESAS,estado de ganancias y perdidas ingresos por empresas
2023,seguros-en-cifra-2023.xlsx,OPERACIONES TÉCNICAS,operaciones tecnicas
2023,seguros-en-cifra-2023.xlsx,PRIMAS,primas
2023,seguros-en-cifra-2023.xlsx,NEGOCIOS NACIONALES,negocios nacionales
2023,seguros-en-cifra-2023.xlsx,NEGOCIOS EXTRANJEROS,negocios extranjeros
2023,seguros-en-cifra-2023.xlsx,PRESTACIONES Y SINIESTROS A CARGO DE RETROCESIONARIOS,prestaciones y siniestros a cargo de retrocesionarios
2023,seguros-en-cifra-2023.xlsx,DEL PAÍS,del pais
2023,seguros-en-cifra-2023.xlsx,DEL EXTERIOR,del exterior
2023,seguros-en-cifra-2023.xlsx,GASTOS OPERACIONALES REEMBOLSADOS POR RETROCESIONARIOS,gastos operacionales reembolsados por retrocesionarios
2023,seguros-en-cifra-2023.xlsx,IMPUESTOS A CARGO DE RETROCESIONARIOS,impuestos a cargo de retrocesionarios
2023,seguros-en-cifra-2023.xlsx,PARTICIPACIÓN EN UTILIDADES DE LOS RETROCESIONARIOS,participacion en utilidades de los retrocesionarios
2023,seguros-en-cifra-2023.xlsx,RESERVAS DE PRIMAS,reservas de primas
2023,seguros-en-cifra-2023.xlsx,"1 Bolivariana de Seguros y Reaseguros, S.A.",1 bolivariana de seguros y reaseguros s a
2023,seguros-en-cifra-2023.xlsx,"2 Kairos de Reaseguros, C.A.",2 kairos de reaseguros c a
2023,seguros-en-cifra-2023.xlsx,"3 Provincial de Reaseguros, C.A. (Provincial Re)",3 provincial de reaseguros c a provincial re
2023,seguros-en-cifra-2023.xlsx,"4 Reaseguradora Delta, C.A.",4 reaseguradora delta c a
2023,seguros-en-cifra-2023.xlsx,"5 Reaseguradora Internacional de Venezuela, R.I.V.",5 reaseguradora internacional de venezuela r i v
2023,seguros-en-cifra-2023.xlsx,RESERVAS PARA PRESTACIONES Y SINIESTROS PENDIENTES,reservas para prestaciones y siniestros pendientes
2023,seguros-en-cifra-2023.xlsx,INTERESES A CARGO DE REASEGURADAS,intereses a cargo de reaseguradas
2023,seguros-en-cifra-2023.xlsx,RESERVAS PARA SINIESTROS OCURRIDOS Y NO NOTIFICADOS,reservas para siniestros ocurridos y no notificados
2023,seguros-en-cifra-2023.xlsx,RESERVAS PARA RIESGOS CATASTRÓFICOS,reservas para riesgos catastroficos
2023,seguros-en-cifra-2023.xlsx,GESTIÓN GENERAL,gestion general
2023,seguros-en-cifra-2023.xlsx,PRODUCTO DE INVERSIONES,producto de inversiones
2023,seguros-en-cifra-2023.xlsx,AJUSTE DE VALORES,ajuste de valores
2023,seguros-en-cifra-2023.xlsx,BENEFICIOS DIVERSOS,beneficios diversos
2023,seguros-en-cifra-2023.xlsx,PRESTACIONES Y SINIESTROS PAGADOS,prestaciones y siniestros pagados
2023,seguros-en-cifra-2023.xlsx,GASTOS DE ADQUISICION,gastos de adquisicion
2023,seguros-en-cifra-2023.xlsx,PRIMAS RETROCEDIDAS,primas retrocedidas
2023,seguros-en-cifra-2023.xlsx,Al País,al pais
2023,seguros-en-cifra-2023.xlsx,Al Exterior,al exterior
2023,seguros-en-cifra-2023.xlsx,Nacionales,nacionales
2023,seguros-en-cifra-2023.xlsx,Extranjeras,extranjeras
